graph_id,evidence_level,family,p_R,p_G,p_B
RG025,high,M_0,0.098391,0.803217,0.098391
RG025,high,M_rho,0.168941,0.731853,0.099206
RG025,high,"M_rho,beta",0.165638,0.700285,0.134077
RG025,high,M_star,0.026872,0.946257,0.026872
RG025,high,M_cluster,0.379291,0.519074,0.101635
RG025,medium,M_exact,0.334939,0.395551,0.26951
RG025,medium,M_0,0.252817,0.494367,0.252817
RG025,medium,M_rho,0.291428,0.447907,0.260665
RG025,medium,"M_rho,beta",0.28435,0.448888,0.266763
RG025,medium,M_star,0.186535,0.626929,0.186535
RG025,medium,M_cluster,0.334939,0.395551,0.26951
RG025,low,M_exact,0.327077,0.349546,0.323377
RG025,low,M_0,0.316292,0.367417,0.316292
RG025,low,M_rho,0.322676,0.356838,0.320486
RG025,low,"M_rho,beta",0.322019,0.357321,0.32066
RG025,low,M_star,0.301642,0.396717,0.301642
RG025,low,M_cluster,0.327077,0.349546,0.323377
RG026,high,M_exact,0.279351,0.441299,0.279351
RG026,high,M_0,0.098391,0.803217,0.098391
RG026,high,M_rho,0.187405,0.62519,0.187405
RG026,high,"M_rho,beta",0.177539,0.644923,0.177539
RG026,high,M_star,0.026872,0.946257,0.026872
RG026,high,M_cluster,0.279351,0.441299,0.279351
RG026,medium,M_exact,0.306883,0.386233,0.306883
RG026,medium,M_0,0.252817,0.494367,0.252817
RG026,medium,M_rho,0.289755,0.420491,0.289755
RG026,medium,"M_rho,beta",0.285039,0.429922,0.285039
RG026,medium,M_star,0.186535,0.626929,0.186535
RG026,medium,M_cluster,0.306883,0.386233,0.306883
RG026,low,M_exact,0.325543,0.348914,0.325543
RG026,low,M_0,0.316292,0.367417,0.316292
RG026,low,M_rho,0.322704,0.354593,0.322704
RG026,low,"M_rho,beta",0.322121,0.355758,0.322121
RG026,low,M_star,0.301642,0.396717,0.301642
RG026,low,M_cluster,0.325543,0.348914,0.325543
RG027,high,M_exact,0.282279,0.435441,0.282279
RG027,high,M_0,0.098391,0.803217,0.098391
RG027,high,M_rho,0.189977,0.620046,0.189977
RG027,high,"M_rho,beta",0.178397,0.643207,0.178397
RG027,high,M_star,0.026872,0.946257,0.026872
RG027,high,M_cluster,0.282279,0.435441,0.282279
RG027,medium,M_exact,0.301582,0.396836,0.301582
RG027,medium,M_0,0.252817,0.494367,0.252817
RG027,medium,M_rho,0.289495,0.42101,0.289495
RG027,medium,"M_rho,beta",0.285128,0.429745,0.285128
RG027,medium,M_star,0.186535,0.626929,0.186535
RG027,medium,M_cluster,0.301582,0.396836,0.301582
RG027,low,M_exact,0.322166,0.355667,0.322166
RG027,low,M_0,0.316292,0.367417,0.316292
RG027,low,M_rho,0.322072,0.355855,0.322072
RG027,low,"M_rho,beta",0.321882,0.356236,0.321882
RG027,low,M_star,0.301642,0.396717,0.301642
RG027,low,M_cluster,0.322166,0.355667,0.322166
RG028,high,M_exact,0.000201,0.109107,0.890693
RG028,high,M_0,0.000201,0.109107,0.890693
RG028,high,M_rho,0.000201,0.109107,0.890693
RG028,high,"M_rho,beta",0.000932,0.154005,0.845063
RG028,high,M_star,0.000201,0.109107,0.890693
RG028,high,M_cluster,0.000201,0.109107,0.890693
RG028,medium,M_exact,0.043294,0.323711,0.632995
RG028,medium,M_0,0.043294,0.323711,0.632995
RG028,medium,M_rho,0.043294,0.323711,0.632995
RG028,medium,"M_rho,beta",0.05584,0.335131,0.609029
RG028,medium,M_star,0.043294,0.323711,0.632995
RG028,medium,M_cluster,0.043294,0.323711,0.632995
RG028,low,M_exact,0.227872,0.357195,0.414933
RG028,low,M_0,0.227872,0.357195,0.414933
RG028,low,M_rho,0.227872,0.357195,0.414933
RG028,low,"M_rho,beta",0.236945,0.355729,0.407326
RG028,low,M_star,0.227872,0.357195,0.414933
RG028,low,M_cluster,0.227872,0.357195,0.414933
RG029,high,M_exact,0.364074,0.566529,0.069398
RG029,high,M_0,0.098391,0.803217,0.098391
RG029,high,M_rho,0.192857,0.71906,0.088083
RG029,high,"M_rho,beta",0.204219,0.673113,0.122668
RG029,high,M_star,0.098391,0.803217,0.098391
RG029,high,M_cluster,0.364074,0.566529,0.069398
RG029,medium,M_exact,0.315643,0.452798,0.231559
RG029,medium,M_0,0.252817,0.494367,0.252817
RG029,medium,M_rho,0.289601,0.470028,0.24037
RG029,medium,"M_rho,beta",0.293859,0.455495,0.250646
RG029,medium,M_star,0.252817,0.494367,0.252817
RG029,medium,M_cluster,0.315643,0.452798,0.231559
