graph_id,evidence_level,selected_in_analysis_3,n_nodes,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,mean_js_all_pairs,min_js_all_pairs,mean_tv_all_pairs,exact_vs_rho_js,rho_vs_star_js,star_vs_cluster_js,exact_vs_star_js,cluster_vs_exact_js,M0_vs_nonlocal_mean_js
RG050,high,False,6,4,3,D3-2:strong-remote,1,3,0,2,0.096616,3.3e-05,0.340712,0.01479,0.237709,0.232876,0.343259,0.016181,0.071639
RG050,medium,False,6,4,3,D3-2:strong-remote,1,3,0,2,0.029945,0.002511,0.204389,0.005552,0.058916,0.082095,0.096364,0.003052,0.025889
RG050,low,False,6,4,3,D3-2:strong-remote,1,3,0,2,0.001601,7.7e-05,0.047493,0.000382,0.002892,0.004516,0.005326,7.7e-05,0.001345
RG051,high,False,6,4,3,D3-2:strong-remote,1,4,0,2,0.094618,0.007288,0.339124,0.012861,0.249852,0.186499,0.347778,0.036235,0.069046
RG051,medium,False,6,4,3,D3-2:strong-remote,1,4,0,2,0.030107,0.001751,0.200499,0.003961,0.070565,0.063647,0.102544,0.009584,0.026648
RG051,low,False,6,4,3,D3-2:strong-remote,1,4,0,2,0.001733,4.1e-05,0.048829,0.000253,0.003804,0.004141,0.005901,0.000283,0.001547
RG052,high,False,6,4,4,D3-1:tree-like-remote,1,1,0,2,0.079942,0.0,0.316207,0.017685,0.15645,0.261875,0.261875,0.0,0.053702
RG052,medium,False,6,4,4,D3-1:tree-like-remote,1,1,0,2,0.015591,0.0,0.141202,0.001863,0.033187,0.050139,0.050139,0.0,0.011623
RG052,low,False,6,4,4,D3-1:tree-like-remote,1,1,0,2,0.000498,0.0,0.024417,4.5e-05,0.001183,0.001689,0.001689,0.0,0.000306
RG053,high,False,6,4,4,D3-2:strong-remote,1,2,0,2,0.074417,0.00745,0.304411,0.00745,0.21013,0.11573,0.283114,0.049332,0.048239
