graph_id,n_nodes,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,preferred_color_template
RG009,5,medium,A2,0.5,0.244902,0.483293,0.271805,1.050042,0.04857,0.000207,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,medium,A3,0.75,0.237738,0.490562,0.2717,1.044952,0.05366,7e-06,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,medium,A4,1.0,0.236421,0.490524,0.273055,1.044791,0.053821,0.0,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.001155,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,low,A1,0.25,0.32329,0.352441,0.324269,1.097798,0.000815,3.4e-05,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,low,A2,0.5,0.320041,0.357665,0.322294,1.097292,0.001321,6e-06,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,low,A3,0.75,0.320058,0.356987,0.322955,1.097361,0.001251,2e-06,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,low,A4,1.0,0.32035,0.356154,0.323495,1.097446,0.001167,0.0,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG010,5,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.255342,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,high,A1,0.25,0.456089,0.242779,0.301132,1.06316,0.035452,0.107732,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,high,A2,0.5,0.5705,0.188409,0.241091,0.977641,0.120971,0.027239,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,high,A3,0.75,0.64494,0.159931,0.195129,0.894884,0.203728,0.003041,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,high,A4,1.0,0.681077,0.147254,0.171669,0.84618,0.252432,0.0,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.017886,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,medium,A1,0.25,0.378358,0.300093,0.32155,1.093774,0.004839,0.0044,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,medium,A2,0.5,0.405983,0.285092,0.308924,1.086626,0.011986,0.000704,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,medium,A3,0.75,0.419084,0.279268,0.301648,1.082224,0.016389,6e-05,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,medium,A4,1.0,0.424455,0.277102,0.298444,1.080231,0.018381,0.0,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.000645,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,low,A1,0.25,0.342588,0.327933,0.329479,1.098419,0.000194,0.000134,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,low,A2,0.5,0.34746,0.325379,0.327161,1.098164,0.000448,1.9e-05,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,low,A3,0.75,0.349555,0.324356,0.326089,1.098023,0.00059,1e-06,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG010,5,low,A4,1.0,0.350375,0.323969,0.325656,1.097962,0.00065,0.0,3,1,D3-1:tree-like-remote,1,1,0,2,0-1-2-0
RG011,5,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.484563,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
